product_id,product_name,category,warehouse_id,warehouse_name,supplier_name,lead_time_days,avg_daily_demand,std_daily_demand,recommended_safety_stock,recommended_reorder_point
P013,Sticky Notes,Office Supplies,W2,South DC,Meridian Wholesale,18,12.898305084745763,8.328792840573032,58.0,290.0
P005,Noise-Cancel Headphones,Tools,W4,West DC,Meridian Wholesale,16,14.142857142857142,9.390112673864705,62.0,288.0
P015,Stapler,Tools,W4,West DC,Pacific Sourcing Ltd,17,14.10909090909091,7.004423806563453,48.0,288.0
P013,Sticky Notes,Office Supplies,W4,West DC,Meridian Wholesale,18,13.203703703703704,7.015830158734777,49.0,287.0
P010,Blender,Tools,W3,East DC,Meridian Wholesale,17,13.62,7.750944642889849,53.0,285.0
P009,Electric Kettle,Apparel,W3,East DC,Global Parts Co,18,12.592592592592593,7.834414930458151,55.0,282.0
P006,Stainless Steel Water Bottle,Electronics,W4,West DC,Crestpoint Industries,17,13.282608695652174,7.932109271052857,54.0,280.0
P011,A4 Notebook Pack,Electronics,W1,North DC,Harbor & Co,18,12.56140350877193,7.113913790843892,50.0,276.0
P005,Noise-Cancel Headphones,Tools,W1,North DC,Meridian Wholesale,16,13.425531914893616,9.128895073030147,60.0,275.0
P022,Hammer,Home & Kitchen,W3,East DC,Harbor & Co,15,14.431372549019608,8.92693654499859,57.0,273.0
P003,Bluetooth Speaker,Office Supplies,W2,South DC,Global Parts Co,17,12.615384615384615,8.373988311511265,57.0,271.0
P008,Ceramic Mug Set,Office Supplies,W2,South DC,Meridian Wholesale,15,14.352941176470589,8.705914149385494,56.0,271.0
P008,Ceramic Mug Set,Office Supplies,W4,West DC,Meridian Wholesale,15,14.107142857142858,8.92326595617744,57.0,269.0
P001,Wireless Mouse,Electronics,W1,North DC,Harbor & Co,15,14.58695652173913,7.637847535519769,49.0,268.0
P017,Denim Jacket,Home & Kitchen,W3,East DC,Silverline Distributors,17,12.724137931034482,7.480484793953603,51.0,267.0
P017,Denim Jacket,Home & Kitchen,W2,South DC,Silverline Distributors,17,12.446428571428571,8.157360631204954,55.0,267.0
P006,Stainless Steel Water Bottle,Electronics,W2,South DC,Crestpoint Industries,17,12.0,9.1804139340228,62.0,266.0
P019,Wool Socks (3-pack),Apparel,W1,North DC,Pacific Sourcing Ltd,15,13.851063829787234,9.033701931256848,58.0,266.0
P007,Non-Stick Frying Pan,Home & Kitchen,W4,West DC,Meridian Wholesale,18,12.2,6.376804557428146,45.0,265.0
P014,Desk Organizer,Apparel,W2,South DC,Global Parts Co,18,11.82,7.466086590684025,52.0,265.0
P015,Stapler,Tools,W2,South DC,Pacific Sourcing Ltd,17,12.4375,7.316278120186172,50.0,261.0
P001,Wireless Mouse,Electronics,W3,East DC,Harbor & Co,15,13.852459016393443,8.162589592308255,52.0,260.0
P005,Noise-Cancel Headphones,Tools,W3,East DC,Meridian Wholesale,16,13.163636363636364,7.385580637079345,49.0,260.0
P001,Wireless Mouse,Electronics,W4,West DC,Harbor & Co,15,13.627906976744185,8.544068551908516,55.0,259.0
P002,USB-C Hub,Home & Kitchen,W1,North DC,Meridian Wholesale,19,10.88679245283019,6.9022303456605485,50.0,257.0
P023,Tool Box,Office Supplies,W4,West DC,Global Parts Co,16,12.555555555555555,8.33194957064664,55.0,256.0
P023,Tool Box,Office Supplies,W2,South DC,Global Parts Co,16,12.931818181818182,7.144351248145,47.0,254.0
P022,Hammer,Home & Kitchen,W4,West DC,Harbor & Co,15,13.203703703703704,8.572398950096098,55.0,253.0
P021,Cordless Drill,Electronics,W2,South DC,Silverline Distributors,13,15.652173913043478,8.236011416818885,49.0,252.0
P008,Ceramic Mug Set,Office Supplies,W1,North DC,Meridian Wholesale,15,12.488372093023257,9.984206797841269,64.0,251.0
P008,Ceramic Mug Set,Office Supplies,W3,East DC,Meridian Wholesale,15,13.123287671232877,8.303187482794137,53.0,250.0
P022,Hammer,Home & Kitchen,W2,South DC,Harbor & Co,15,12.8,8.926448424848566,57.0,249.0
P003,Bluetooth Speaker,Office Supplies,W4,West DC,Global Parts Co,17,11.622222222222222,7.243457514728499,49.0,247.0
P019,Wool Socks (3-pack),Apparel,W2,South DC,Pacific Sourcing Ltd,15,12.516129032258064,8.52526031617144,54.0,242.0
P021,Cordless Drill,Electronics,W4,West DC,Silverline Distributors,13,14.764705882352942,8.174566007548334,49.0,241.0
P022,Hammer,Home & Kitchen,W1,North DC,Harbor & Co,15,12.925925925925926,7.268053259511019,46.0,240.0
P023,Tool Box,Office Supplies,W3,East DC,Global Parts Co,16,11.936170212765957,6.894876028519921,46.0,237.0
P017,Denim Jacket,Home & Kitchen,W4,West DC,Silverline Distributors,17,11.346938775510203,6.111979427076534,42.0,235.0
P005,Noise-Cancel Headphones,Tools,W2,South DC,Meridian Wholesale,16,12.191489361702128,6.120664562782522,40.0,235.0
P013,Sticky Notes,Office Supplies,W1,North DC,Meridian Wholesale,18,10.166666666666666,7.441497599597993,52.0,235.0
P001,Wireless Mouse,Electronics,W2,South DC,Harbor & Co,15,12.056603773584905,7.204205754385693,46.0,227.0
P019,Wool Socks (3-pack),Apparel,W4,West DC,Pacific Sourcing Ltd,15,12.036363636363637,6.994610720017171,45.0,226.0
P023,Tool Box,Office Supplies,W1,North DC,Global Parts Co,16,11.448979591836734,6.3510537986810895,42.0,225.0
P021,Cordless Drill,Electronics,W3,East DC,Silverline Distributors,13,13.037037037037036,7.8739191242964175,47.0,216.0
P021,Cordless Drill,Electronics,W1,North DC,Silverline Distributors,13,12.38888888888889,7.486885809166375,45.0,206.0
P024,Measuring Tape,Apparel,W4,West DC,Northline Trading,8,15.183673469387756,9.375663241845336,44.0,165.0
P024,Measuring Tape,Apparel,W1,North DC,Northline Trading,8,15.375,7.241234968633992,34.0,157.0
P024,Measuring Tape,Apparel,W2,South DC,Northline Trading,8,12.660377358490566,7.912850785094447,37.0,138.0
P024,Measuring Tape,Apparel,W3,East DC,Northline Trading,8,11.642857142857142,7.240877957047071,34.0,127.0
P018,Running Shoes,Office Supplies,W4,West DC,Northline Trading,6,13.703703703703704,8.653998159057302,35.0,117.0
P018,Running Shoes,Office Supplies,W2,South DC,Northline Trading,6,13.39622641509434,8.7053025897162,35.0,115.0
P018,Running Shoes,Office Supplies,W3,East DC,Northline Trading,6,13.576923076923077,7.961540283151328,32.0,113.0
P018,Running Shoes,Office Supplies,W1,North DC,Northline Trading,6,12.936170212765957,7.99294323360395,32.0,110.0
P016,Cotton T-Shirt,Electronics,W2,South DC,Union Freight Supply,4,14.345454545454546,8.402420686961191,28.0,85.0
P016,Cotton T-Shirt,Electronics,W3,East DC,Union Freight Supply,4,13.982456140350877,8.208208496181854,27.0,83.0
P016,Cotton T-Shirt,Electronics,W1,North DC,Union Freight Supply,4,13.843137254901961,7.708106249967259,25.0,80.0
P016,Cotton T-Shirt,Electronics,W4,West DC,Union Freight Supply,4,12.767441860465116,8.245741207557723,27.0,78.0
P020,Baseball Cap,Tools,W4,West DC,Union Freight Supply,3,14.132075471698114,8.726700266002952,25.0,67.0
P020,Baseball Cap,Tools,W1,North DC,Union Freight Supply,3,13.565217391304348,7.50008051486573,21.0,62.0
P020,Baseball Cap,Tools,W2,South DC,Union Freight Supply,3,12.62,8.22859623012135,24.0,62.0
P020,Baseball Cap,Tools,W3,East DC,Union Freight Supply,3,12.02,7.147113017841253,20.0,56.0
